input,output
 I like to go to the movies . What do you do in your free time ? , I also like going to the movies . 
 I also like going to the movies . , Well that's great ! It's nice that we have something in common . 
"Who broke the glass , Peter ? ", That cat . 
 That cat . , I was not born yesterday . It must be either you or Adam . 
 I was not born yesterday . It must be either you or Adam . ," It ’ s me , mum , I am sorry . "
Can you read what this says ? ," Yes , and you could too if your hair wasn't hanging down in your face . "
" Yes , and you could too if your hair wasn't hanging down in your face . ", Don't dis my hair ! I like it like this . 
 Don't dis my hair ! I like it like this . ," You like it , but it's getting to be a handicap for you . "
" You like it , but it's getting to be a handicap for you . "," Hey , that's enough about my hair . "
" Hey , that's enough about my hair . ", I know a great hairdresser not far from here and she is cute too . 
 I know a great hairdresser not far from here and she is cute too . , I don't go to hairdressers because they're cute . 
 I don't go to hairdressers because they're cute . , Did I mention she's good at cutting hair too ? 
"Hello , Tony . Fancy meeting you here . How are things going with you ? "," Not too bad , thanks . And you ? "
" Not too bad , thanks . And you ? ", Pretty good ! How are your parents these days ? 
 Pretty good ! How are your parents these days ? ," Oh , they are fine . They are enjoying their retirement . "
" Oh , they are fine . They are enjoying their retirement . "," Oh , good . That's nice to hear . Well , I am going to a football match . I need to go . "
" Oh , good . That's nice to hear . Well , I am going to a football match . I need to go . ", Say hi to your family for me . 
 Say hi to your family for me . ," Thanks , I will , byebye ! "
Where should I sit ? , Why don't you sit in the back with me ? 
 Why don't you sit in the back with me ? , Okay . 
 Okay . ," By the way , what's your last name ? I forgot what it is . "
" By the way , what's your last name ? I forgot what it is . ", It's Lin . It's spelled L-I-N . 
 It's Lin . It's spelled L-I-N . , R-I-N ? 
 R-I-N ? ," My pronunciation is not very good . It's L-I-N , Lin . "
" My pronunciation is not very good . It's L-I-N , Lin . ", I got it . Mary Lin . 
 I got it . Mary Lin . , Lin is a common Chinese last name . 
"You ’ re ready , right ? ", Ready for what ? 
 Ready for what ? , Are you ready to transfer tomorrow ? 
 Are you ready to transfer tomorrow ? , Yes . I am ready . 
 Yes . I am ready . , You ’ re not nervous ? 
 You ’ re not nervous ? , Of course I ’ m nervous . 
 Of course I ’ m nervous . , What are you most nervous about ? 
 What are you most nervous about ? , I won ’ t know anybody at that school . 
 I won ’ t know anybody at that school . , You shouldn ’ t be nervous about that . 
 You shouldn ’ t be nervous about that . , Why not ? 
 Why not ? , Meeting new people is a good thing . 
 Meeting new people is a good thing . , That ’ s a good way to think about it . 
What do you think of this one ? ," Eh , so so . "
" Eh , so so . ", And this one ? Too flashy ? 
 And this one ? Too flashy ? ," Nah , not too flashy . "
" Nah , not too flashy . ", Hug ! And this sweater from my aunt ? Isn ’ t it hideous ? 
 Hug ! And this sweater from my aunt ? Isn ’ t it hideous ? , I guess . 
 I guess . , Are you even listening ? I ’ m trying to have a conversation with you . 
 Are you even listening ? I ’ m trying to have a conversation with you . ," And I ’ m trying to watch the game , but you ’ re yapping on about your new clothes ! "
" And I ’ m trying to watch the game , but you ’ re yapping on about your new clothes ! ", Well I have to decide which gifts to keep and which to exchange for better ones when I go to the Boxing Day sales this afternoon ! 
 Well I have to decide which gifts to keep and which to exchange for better ones when I go to the Boxing Day sales this afternoon ! , Well could you do me the favor of making this quick ? It ’ s the third quarter and you ’ Ve been blabbering on since the first ! 
 Well could you do me the favor of making this quick ? It ’ s the third quarter and you ’ Ve been blabbering on since the first ! ," Oh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals ! "
" Oh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals ! "," Oh no you didn ’ t . You didn ’ t just insult the Sals-bury Seals , did you ? Why don ’ t you just . just go and return all of those stupid clothes and not come back until the sales are over ? "
" Oh no you didn ’ t . You didn ’ t just insult the Sals-bury Seals , did you ? Why don ’ t you just . just go and return all of those stupid clothes and not come back until the sales are over ? ", I might just ! Enjoy your stupid game ! 
